ID,Student_ID,Start_Date,End_Date,Possible_Credit,Credit_Type,Course_Name,School Year,Term,Status
5067136,17764,26-Aug-24,16-Jan-25,0.5,MTH,Algebra I-A,24-25,S1,
5067137,17764,26-Aug-24,16-Jan-25,0.5,PE,Physical Education,24-25,S1,
5067138,17764,26-Aug-24,16-Jan-25,0.5,SCI,Next Gen Biology-A,24-25,S1,
5058939,17764,26-Aug-24,16-Jan-25,0.5,OTHER,CTE Bus Adm Mgmt and Ops I-A,24-25,S1,
5058942,17764,26-Aug-24,16-Jan-25,0.5,ELA,English Lang Arts I (Gr 9)-A,24-25,S1,
5058943,17764,26-Aug-24,16-Jan-25,0.5,SS,U.S. History & Geography-A,24-25,S1,
5067135,17764,16-Jan-25,11-Jun-25,0.5,ELA,English Lang Arts I (Gr 9)-B,24-25,S2,
5058940,17764,16-Jan-25,11-Jun-25,0.5,OTHER,CTE Bus Adm Mgmt and Ops I-B,24-25,S2,
5058944,17764,16-Jan-25,11-Jun-25,0.5,SS,U.S. History & Geography-B,24-25,S2,
5058945,17764,16-Jan-25,11-Jun-25,0.5,MTH,Algebra I-B,24-25,S2,
5058946,17764,16-Jan-25,11-Jun-25,0.5,PE,Health Education,24-25,S2,
5058947,17764,16-Jan-25,11-Jun-25,0.5,SCI,Next Gen Biology-B,24-25,S2,
4363634,783135,28-Aug-23,22-Jan-24,0.5,SS,U.S. History & Geography-A,23-24,S1,
4377913,783135,28-Aug-23,22-Jan-24,0.5,OTHER,Computer Science Principles-A,23-24,S1,
4363856,783135,28-Aug-23,22-Jan-24,0.5,MTH,Algebra I-A,23-24,S1,
4363541,783135,28-Aug-23,22-Jan-24,0.5,SCI,Next Gen Physical Science-A,23-24,S1,
4363814,783135,28-Aug-23,22-Jan-24,0.5,ELA,English Lang Arts I (Gr 9)-A,23-24,S1,
4375260,783135,28-Aug-23,22-Jan-24,0.5,ART,Fibers and Textile Design I-A,23-24,S1,
4761014,783135,22-Jan-24,6-Feb-24,0.5,MTH,Algebra I-B,23-24,S2,Dropped
4759747,783135,22-Jan-24,8-Jun-24,0.5,ELA,English Lang Arts I (Gr 9)-B,23-24,S2,
4761741,783135,22-Jan-24,8-Jun-24,0.5,SS,U.S. History & Geography-B,23-24,S2,
4763647,783135,22-Jan-24,2-Feb-24,0.5,OTHER,Computer Science Principles-B,23-24,S2,Dropped
4762820,783135,22-Jan-24,8-Jun-24,0.5,ART,Fibers and Textile Design I-B,23-24,S2,
4762424,783135,22-Jan-24,8-Jun-24,0.5,SCI,Next Gen Physical Science-B,23-24,S2,
4811821,783135,1-Feb-24,6-Feb-24,0.5,ART,Band I-B,23-24,S2,Dropped
4816436,783135,6-Feb-24,8-Jun-24,0.5,ART,Band II-B,23-24,S2,
4816435,783135,6-Feb-24,8-Jun-24,0.5,MTH,Algebra I-B,23-24,S2,
5390665,783135,26-Aug-24,16-Jan-25,0.5,OTHER,Introduction to Computer Technology-A,24-25,S1,
5283923,783135,26-Aug-24,16-Jan-25,0.5,MTH,Geometry-A,24-25,S1,
5283786,783135,26-Aug-24,16-Jan-25,0.5,PE,Health Education,24-25,S1,
5283500,783135,26-Aug-24,16-Jan-25,0.5,ELA,English Lang Arts II (Gr 10)-A,24-25,S1,
5284086,783135,26-Aug-24,16-Jan-25,0.5,SCI,Next Gen Biology-A,24-25,S1,
5283878,783135,26-Aug-24,16-Jan-25,0.5,SS,Civics,24-25,S1,
5718949,783135,16-Jan-25,11-Jun-25,0.5,OTHER,Introduction to Computer Technology-B,24-25,S2,
5715689,783135,16-Jan-25,11-Jun-25,0.5,MTH,Geometry-B,24-25,S2,
5717034,783135,16-Jan-25,11-Jun-25,0.5,PE,Physical Education,24-25,S2,
5712649,783135,16-Jan-25,11-Jun-25,0.5,SS,Economics,24-25,S2,
5712778,783135,16-Jan-25,11-Jun-25,0.5,ELA,English Lang Arts II (Gr 10)-B,24-25,S2,
5713211,783135,16-Jan-25,11-Jun-25,0.5,SCI,Next Gen Biology-B,24-25,S2,
2297473,306092,7-Sep-21,2-Feb-22,0.5,ELA,English Lang Arts I (Gr 9)-A,21-22,S1,
2297474,306092,7-Sep-21,2-Feb-22,0.5,SCI,Next Gen Physical Science-A,21-22,S1,
2297475,306092,7-Sep-21,2-Feb-22,0.5,MTH,Algebra I-A,21-22,S1,
2297476,306092,7-Sep-21,2-Feb-22,0.5,SS,U.S. History & Geography-A,21-22,S1,
2297478,306092,7-Sep-21,2-Feb-22,0.5,OTHER,Army Junior ROTC I-A,21-22,S1,
2495352,306092,7-Sep-21,2-Feb-22,0.5,OTHER,OG Tutoring Seminar (Gr 9)-A,21-22,S1,
2805074,306092,2-Feb-22,28-Jun-22,0.5,OTHER,Army Junior ROTC I-B,21-22,S2,
2802023,306092,2-Feb-22,28-Jun-22,0.5,SCI,Next Gen Physical Science-B,21-22,S2,
2801373,306092,2-Feb-22,28-Jun-22,0.5,SS,U.S. History & Geography-B,21-22,S2,
2807537,306092,2-Feb-22,28-Jun-22,0.5,OTHER,OG Tutoring Seminar (Gr 9)-B,21-22,S2,
2802404,306092,2-Feb-22,28-Jun-22,0.5,ELA,English Lang Arts I (Gr 9)-B,21-22,S2,
2804494,306092,2-Feb-22,28-Jun-22,0.5,MTH,Algebra I-B,21-22,S2,
3435614,306092,29-Aug-22,24-Jan-23,0.5,MTH,Geometry-A,22-23,S1,
3435762,306092,29-Aug-22,24-Jan-23,0.5,OTHER,Digital Electronics-A,22-23,S1,
3435615,306092,29-Aug-22,24-Jan-23,0.5,ELA,English Lang Arts II (Gr 10)-A,22-23,S1,
3435616,306092,29-Aug-22,14-Sep-22,0.5,ART,Drawing / Painting I-A,22-23,S1,Dropped
3435618,306092,29-Aug-22,24-Jan-23,0.5,SCI,Next Gen Biology-A,22-23,S1,
3435619,306092,29-Aug-22,24-Jan-23,0.5,SS,Civics,22-23,S1,
3652675,306092,14-Sep-22,24-Jan-23,0.5,OTHER,Computer Science Principles-A,22-23,S1,
3718527,306092,6-Oct-22,24-Jan-23,0.5,MTH,"Algebra I, Virt (Edg)-B",22-23,S1,
3718528,306092,6-Oct-22,24-Jan-23,0.5,ELA,"ELA I (Gr 9), Virt (Edg)-B",22-23,S1,
3804592,306092,24-Jan-23,10-Jun-23,0.5,OTHER,Computer Science Principles-B,22-23,S2,
3803547,306092,24-Jan-23,10-Jun-23,0.5,MTH,Geometry-B,22-23,S2,
3803058,306092,24-Jan-23,10-Jun-23,0.5,ELA,English Lang Arts II (Gr 10)-B,22-23,S2,
3816415,306092,24-Jan-23,10-Jun-23,0.5,OTHER,Digital Electronics-B,22-23,S2,
3803455,306092,24-Jan-23,10-Jun-23,0.5,SCI,Next Gen Biology-B,22-23,S2,
3803334,306092,24-Jan-23,10-Jun-23,0.5,SS,Economics,22-23,S2,
4028263,306092,20-Jun-23,14-Jul-23,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-B",22-23,YR,
4028264,306092,20-Jun-23,14-Jul-23,0.5,MTH,"Algebra I, Virt (Edg)-B",22-23,YR,
4385104,306092,28-Aug-23,22-Jan-24,0.5,SCI,Next Gen Earth and Space Science-A,23-24,S1,
4385105,306092,28-Aug-23,22-Jan-24,0.5,LANG,Spanish I-A,23-24,S1,
4385106,306092,28-Aug-23,22-Jan-24,0.5,SS,World Hist and Geography-A,23-24,S1,
4385107,306092,28-Aug-23,22-Jan-24,0.5,ELA,English Lang Arts III (Gr 11)-A,23-24,S1,
4385463,306092,28-Aug-23,22-Jan-24,0.5,MTH,"Algebra I, Virt (Edg)-B",23-24,S1,
4385110,306092,28-Aug-23,22-Jan-24,0.5,MTH,Algebra II-A,23-24,S1,
4385462,306092,28-Aug-23,22-Jan-24,0.5,ELA,"ELA I (Gr 9), Virt (Edg)-B",23-24,S1,
4703358,306092,31-Oct-23,22-Jan-24,0.5,OTHER,Career & Prof. Dev. - DE WCCCD,23-24,S1,
4715886,306092,29-Nov-23,22-Jan-24,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-A",23-24,S1,
4715887,306092,29-Nov-23,22-Jan-24,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-B",23-24,S1,
4737473,306092,22-Jan-24,8-Jun-24,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-B",23-24,S2,
4737472,306092,22-Jan-24,8-Jun-24,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-A",23-24,S2,
4737471,306092,22-Jan-24,8-Jun-24,0.5,MTH,"Algebra I, Virt (Edg)-B",23-24,S2,
4733873,306092,22-Jan-24,8-Jun-24,0.5,SCI,Next Gen Earth and Space Science-B,23-24,S2,
4733634,306092,22-Jan-24,8-Jun-24,0.5,SS,World Hist and Geography-B,23-24,S2,
4728940,306092,22-Jan-24,8-Jun-24,0.5,LANG,Spanish I-B,23-24,S2,
4737470,306092,22-Jan-24,8-Jun-24,0.5,ELA,"ELA I (Gr 9), Virt (Edg)-B",23-24,S2,
4733803,306092,22-Jan-24,8-Jun-24,0.5,ELA,English Lang Arts III (Gr 11)-B,23-24,S2,
4734428,306092,22-Jan-24,8-Jun-24,0.5,MTH,Algebra II-B,23-24,S2,
4947160,306092,24-Jun-24,27-Jul-24,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-A",23-24,YR,
4947162,306092,24-Jun-24,27-Jul-24,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-B",23-24,YR,
5234459,306092,26-Aug-24,16-Jan-25,0.5,PE,Team Sports-A,24-25,S1,
5234460,306092,26-Aug-24,16-Jan-25,0.5,MTH,Pre-Calculus-A,24-25,S1,
5234711,306092,26-Aug-24,6-Sep-24,0.5,ELA,English Lang Arts IV (Gr 12)-A,24-25,S1,Dropped
5234715,306092,26-Aug-24,4-Nov-24,0.5,ELA,"ELA I (Gr 9), Virt (Edg)-B",24-25,S1,Dropped
5234718,306092,26-Aug-24,11-Jun-25,0.5,MTH,"Algebra I, Virt (Edg)-B",24-25,YR,
5234713,306092,26-Aug-24,16-Jan-25,0.5,OTHER,Digital Electronics-A,24-25,S1,
5234714,306092,26-Aug-24,6-Sep-24,0.5,ART,Yearbook-A,24-25,S1,Dropped
5234716,306092,26-Aug-24,11-Jun-25,0.5,ELA,"ELA II (Gr 10), Virt (Edg)-A",24-25,YR,
